Date/Time,Word Count,en,fr
2026.01.27-16.22.02,165,165,0
2026.02.02-11.26.42,253,253,13
2026.02.02-13.40.54,283,283,31
2026.02.02-14.44.27,285,6,31
2026.02.02-14.54.48,285,285,31
2026.02.02-15.07.56,285,285,113
2026.02.02-15.09.25,285,285,111
2026.02.02-15.10.24,285,285,113
2026.02.02-16.09.49,285,285,111
2026.02.03-10.09.50,288,288,111
2026.02.03-10.15.45,288,288,114
2026.02.03-10.49.15,289,289,114
2026.02.03-11.54.00,303,303,78
2026.02.03-11.56.48,303,303,101
2026.02.04-11.44.48,309,309,72
2026.02.04-13.49.26,422,422,85
